char1,file1,char2,file2,score
"""",wingding.ttf_22.png,Y,wingding.ttf_59.png,1.0000001192092896
"""",wingding.ttf_22.png,{,wingding.ttf_7b.png,1.0000001192092896
"""",wingding.ttf_22.png,M,wingding.ttf_4d.png,1.0000001192092896
"""",wingding.ttf_22.png,A,wingding.ttf_41.png,1.0000001192092896
"""",wingding.ttf_22.png,&,wingding.ttf_26.png,1.0000001192092896
"""",wingding.ttf_22.png,c,wingding.ttf_63.png,1.0000001192092896
"""",wingding.ttf_22.png,j,wingding.ttf_6a.png,1.0000001192092896
"""",wingding.ttf_22.png,Q,wingding.ttf_51.png,1.0000001192092896
"""",wingding.ttf_22.png,R,wingding.ttf_52.png,1.0000001192092896
"""",wingding.ttf_22.png,`,wingding.ttf_60.png,1.0000001192092896
"""",wingding.ttf_22.png,0,wingding.ttf_30.png,1.0000001192092896
"""",wingding.ttf_22.png,z,wingding.ttf_7a.png,1.0000001192092896
"""",wingding.ttf_22.png,;,wingding.ttf_3b.png,1.0000001192092896
"""",wingding.ttf_22.png,4,wingding.ttf_34.png,1.0000001192092896
"""",wingding.ttf_22.png,~,wingding.ttf_7e.png,1.0000001192092896
